epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,580.454,1.29054,1.62071,1.31936,0.54981,0.41266,0.43115,0.2825,1.32194,1.4451,1.26579,4.99949e-05,4.99949e-05,0.0500551
2,1081.48,1.21695,1.44292,1.26554,0.59271,0.45333,0.48,0.32369,1.24745,1.3017,1.21514,9.97224e-05,9.97224e-05,0.000104794
3,1584.76,1.19581,1.38822,1.24992,0.61437,0.45063,0.48741,0.32956,1.23833,1.28869,1.21001,9.89128e-05,9.89128e-05,9.89128e-05
4,2082.16,1.19166,1.37981,1.24557,0.60131,0.45961,0.49137,0.33274,1.23623,1.27912,1.20526,9.75651e-05,9.75651e-05,9.75651e-05
5,2582.17,1.19,1.37114,1.24408,0.60833,0.46252,0.49475,0.33558,1.23183,1.27062,1.20241,9.56989e-05,9.56989e-05,9.56989e-05
6,3074.99,1.18689,1.36398,1.24151,0.59508,0.46734,0.49489,0.33629,1.22887,1.26648,1.2001,9.33348e-05,9.33348e-05,9.33348e-05
7,3573.1,1.18607,1.36019,1.24066,0.61212,0.46249,0.496,0.33789,1.22837,1.26466,1.19949,9.04986e-05,9.04986e-05,9.04986e-05
8,4067.88,1.18238,1.35541,1.23842,0.61109,0.46457,0.49767,0.33857,1.22663,1.26239,1.19796,8.72215e-05,8.72215e-05,8.72215e-05
9,4564.61,1.1809,1.35138,1.23792,0.61538,0.46256,0.4988,0.33951,1.2253,1.25995,1.19709,8.35392e-05,8.35392e-05,8.35392e-05
10,5063.25,1.18035,1.34465,1.23535,0.61025,0.46382,0.49899,0.33972,1.22415,1.25845,1.19593,7.94923e-05,7.94923e-05,7.94923e-05
11,5556.16,1.1779,1.33879,1.23341,0.60995,0.46426,0.49946,0.3402,1.22336,1.25685,1.19501,7.5125e-05,7.5125e-05,7.5125e-05
12,6053.92,1.17581,1.33533,1.2338,0.61488,0.46345,0.49989,0.34071,1.22257,1.25486,1.1947,7.04851e-05,7.04851e-05,7.04851e-05
13,6548.49,1.17351,1.3308,1.23214,0.61334,0.46532,0.50061,0.34109,1.22234,1.25309,1.19464,6.56236e-05,6.56236e-05,6.56236e-05
14,7047.49,1.17374,1.32778,1.23023,0.61062,0.46702,0.5013,0.34181,1.22139,1.25133,1.19349,6.05936e-05,6.05936e-05,6.05936e-05
15,7542.55,1.17231,1.32286,1.22926,0.61351,0.46653,0.50173,0.34249,1.2205,1.24951,1.19296,5.54503e-05,5.54503e-05,5.54503e-05
16,8040.68,1.17053,1.32021,1.22831,0.61319,0.46638,0.50252,0.34311,1.21947,1.24793,1.19218,5.025e-05,5.025e-05,5.025e-05
17,8536.8,1.16865,1.31537,1.22766,0.61324,0.46726,0.50285,0.34353,1.21843,1.24671,1.19142,4.50497e-05,4.50497e-05,4.50497e-05
18,9035,1.16636,1.31259,1.22628,0.61679,0.46506,0.50307,0.34388,1.21754,1.2458,1.19098,3.99064e-05,3.99064e-05,3.99064e-05
19,9533.29,1.16526,1.30847,1.22517,0.61881,0.46416,0.50327,0.34417,1.21662,1.24466,1.1902,3.48764e-05,3.48764e-05,3.48764e-05
20,10030.5,1.16396,1.30683,1.22409,0.61843,0.46466,0.50357,0.34417,1.21587,1.24419,1.1895,3.00149e-05,3.00149e-05,3.00149e-05
21,10530.4,1.16339,1.30365,1.22369,0.61399,0.46775,0.50412,0.3445,1.21573,1.2438,1.18919,2.5375e-05,2.5375e-05,2.5375e-05
