epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.934,1.37724,1.82074,1.32097,0.46209,0.28386,0.2808,0.17647,1.47697,1.93928,1.34608,0.000249949,0.000249949,0.0502601
2,554.367,1.41874,1.92573,1.35908,0.47126,0.32288,0.32277,0.20248,1.43997,1.72827,1.30621,0.000499458,0.000499458,0.000509603
3,797.35,1.41266,1.89911,1.35723,0.49356,0.33696,0.34184,0.21761,1.40554,1.658,1.28789,0.000498039,0.000498039,0.000498039
4,1037.69,1.39213,1.83442,1.34156,0.51784,0.35143,0.3611,0.23009,1.38776,1.59282,1.27415,0.000495594,0.000495594,0.000495594
5,1277.58,1.37538,1.79337,1.3306,0.52758,0.36433,0.37984,0.2459,1.37272,1.53739,1.2605,0.000492185,0.000492185,0.000492185
6,1517.07,1.36187,1.75095,1.31956,0.55047,0.37394,0.39412,0.25618,1.34989,1.49044,1.24457,0.000487825,0.000487825,0.000487825
7,1759.12,1.3481,1.71604,1.30962,0.55429,0.37669,0.40207,0.26315,1.34319,1.46189,1.23787,0.000482532,0.000482532,0.000482532
8,1998.46,1.33974,1.68918,1.3029,0.56212,0.39051,0.41443,0.27017,1.32823,1.43893,1.22678,0.000476326,0.000476326,0.000476326
9,2237.1,1.32947,1.66444,1.29425,0.55968,0.3988,0.42086,0.27775,1.32066,1.41018,1.2216,0.000469231,0.000469231,0.000469231
10,2476.98,1.32463,1.6488,1.29225,0.56233,0.40373,0.4285,0.28318,1.30794,1.3905,1.21363,0.000461277,0.000461277,0.000461277
11,2718.55,1.3163,1.62129,1.28351,0.58453,0.40262,0.43382,0.28804,1.30132,1.37624,1.20773,0.000452493,0.000452493,0.000452493
12,2957.06,1.30948,1.60615,1.27889,0.57305,0.40856,0.43579,0.28968,1.29712,1.36691,1.20375,0.000442915,0.000442915,0.000442915
13,3196.11,1.30506,1.58772,1.2757,0.58443,0.41073,0.44074,0.29318,1.29421,1.35825,1.20087,0.000432581,0.000432581,0.000432581
14,3435.15,1.29932,1.57945,1.27205,0.57129,0.41595,0.44246,0.29483,1.29051,1.34904,1.19895,0.000421531,0.000421531,0.000421531
15,3676.94,1.29057,1.55187,1.26516,0.57173,0.42025,0.44491,0.2966,1.28828,1.34221,1.19687,0.000409809,0.000409809,0.000409809
16,3916.99,1.28606,1.54038,1.26201,0.57275,0.42236,0.44611,0.29772,1.28647,1.33719,1.19521,0.000397462,0.000397462,0.000397462
17,4157.44,1.28303,1.52705,1.25735,0.5776,0.4248,0.44844,0.29952,1.28412,1.33195,1.19327,0.000384537,0.000384537,0.000384537
18,4400.14,1.27426,1.50901,1.25304,0.58067,0.42247,0.44947,0.30079,1.28267,1.32706,1.19197,0.000371086,0.000371086,0.000371086
19,4640.8,1.27081,1.49808,1.25011,0.58777,0.42275,0.45177,0.30243,1.2816,1.32402,1.19107,0.000357163,0.000357163,0.000357163
20,4882.47,1.26551,1.48572,1.24651,0.58537,0.42485,0.45239,0.3029,1.28033,1.32117,1.19002,0.000342821,0.000342821,0.000342821
21,5123.84,1.26103,1.47421,1.24259,0.58785,0.42582,0.45429,0.30388,1.27919,1.31939,1.18899,0.000328118,0.000328118,0.000328118
22,5367.48,1.25519,1.46346,1.23881,0.58495,0.42916,0.45551,0.3052,1.27738,1.3162,1.18749,0.000313112,0.000313112,0.000313112
23,5608.98,1.2531,1.45167,1.23712,0.5841,0.43049,0.45705,0.30606,1.27622,1.31299,1.18637,0.000297861,0.000297861,0.000297861
24,5849.27,1.24929,1.43526,1.23351,0.58548,0.43163,0.4576,0.30688,1.27525,1.3097,1.18534,0.000282427,0.000282427,0.000282427
25,6090.41,1.24453,1.43195,1.23019,0.58948,0.43004,0.45929,0.30802,1.27403,1.30701,1.18413,0.000266869,0.000266869,0.000266869
26,6333.19,1.23865,1.41493,1.22662,0.59226,0.43028,0.46017,0.30874,1.27307,1.30422,1.1832,0.00025125,0.00025125,0.00025125
27,6575.22,1.23744,1.4063,1.22372,0.59508,0.43197,0.46085,0.30928,1.2721,1.30141,1.18223,0.000235631,0.000235631,0.000235631
28,6816.54,1.23325,1.39897,1.22199,0.59866,0.42964,0.46125,0.30963,1.27114,1.29929,1.18125,0.000220073,0.000220073,0.000220073
29,7058.95,1.22595,1.38661,1.21881,0.60022,0.42963,0.46145,0.31021,1.27001,1.29693,1.18039,0.000204639,0.000204639,0.000204639
30,7303.33,1.22216,1.37741,1.2156,0.60096,0.42964,0.46248,0.31091,1.26926,1.29448,1.17955,0.000189388,0.000189388,0.000189388
31,7544.55,1.2209,1.36771,1.21291,0.60147,0.43035,0.46369,0.31178,1.26795,1.29209,1.17835,0.000174382,0.000174382,0.000174382
32,7786.12,1.21581,1.35999,1.21095,0.60467,0.42928,0.46441,0.3124,1.26728,1.29011,1.17762,0.000159679,0.000159679,0.000159679
33,8030.49,1.21131,1.35225,1.20844,0.60537,0.42958,0.46531,0.31294,1.26666,1.28813,1.17686,0.000145337,0.000145337,0.000145337
34,8270.63,1.20904,1.34507,1.2066,0.60284,0.43145,0.46682,0.3141,1.26625,1.28613,1.17629,0.000131414,0.000131414,0.000131414
35,8512.86,1.20604,1.33572,1.20421,0.6094,0.42998,0.46767,0.3143,1.26591,1.28442,1.17579,0.000117963,0.000117963,0.000117963
36,8753.73,1.20316,1.3261,1.2016,0.61163,0.42978,0.46825,0.31481,1.26549,1.28266,1.17525,0.000105038,0.000105038,0.000105038
37,8997.37,1.2025,1.32314,1.2015,0.60651,0.43301,0.46871,0.31513,1.26468,1.28115,1.1745,9.26908e-05,9.26908e-05,9.26908e-05
38,9239.03,1.19953,1.31443,1.19961,0.6057,0.43398,0.46918,0.31534,1.26457,1.27986,1.17409,8.09689e-05,8.09689e-05,8.09689e-05
